place_id,name,description,is_spending_on_ads,reviews,rating,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJn_813RGNT0YRd6mplOjHuAM,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,,Lekplats,Lekplats,,FALSE,Open All Days,"Persikogatan 154, 426 56 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464f8d11dd35ff9f:0x3b8c7e894a9a977!8m2!3d57.649207!4d11.8804093!16s%2Fg%2F11qg34y0zd!19sChIJn_813RGNT0YRd6mplOjHuAM?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJRyKUs72NT0YRbIZgii_Zqps,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GhvgG4Z6CaQ2LA0-rsYmxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.98184&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Lunnefagelgangen 31, 426 69 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464f8dbdb3942247:0x9baad92f8a60866c!8m2!3d57.6736669!4d11.8858891!16s%2Fg%2F11p00jr09y!19sChIJRyKUs72NT0YRbIZgii_Zqps?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJAUPJ-HeNT0YRrRJIguKWvCY,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6QaYCahqosP6O9dCL361ow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.50647&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Melongatan 6, 426 56 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464f8d77f8c94301:0x26bc96e2824812ad!8m2!3d57.6489763!4d11.8748598!16s%2Fg%2F11rx32rvcd!19sChIJAUPJ-HeNT0YRrRJIguKWvCY?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJL2wlJzWNT0YRsSwwASkXYpQ,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L-I1bghqaF9pmnvdAoyL-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=165.26175&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Lyngskarsvagen 12, 421 58 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464f8d3527256c2f:0x9462172901302cb1!8m2!3d57.645717!4d11.8694552!16s%2Fg%2F11n_z81jjc!19sChIJL2wlJzWNT0YRsSwwASkXYpQ?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJeZJDFgDzT0YRPZxxh8IkcDY,"Rubelgatan, lekplats 543",,FALSE,0,0,https://goteborg.se/wps/portal/start/uppleva-och-gora/parker-och-lekplatser/lekplatser/hitta-lekplatser?id=7311,,TRUE,"Rubelgatan, lekplats 543 (agare)",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y-hiZafRePX5P8fhbjgeyA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.84715&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Rubelgatan 4, 414 80 Goteborg",,"https://www.google.com/maps/place/Rubelgatan,+lekplats+543/data=!4m7!3m6!1s0x464ff30016439279:0x367024c287719c3d!8m2!3d57.6721127!4d11.9256124!16s%2Fg%2F11mcpd2g13!19sChIJeZJDFgDzT0YRPZxxh8IkcDY?authuser=0&hl=sv&rclk=1",lekpark in vastra frolunda
ChIJHf-ACy7zT0YR71dfQCMcOSI,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,,Lekplats,Lekplats,,FALSE,Open All Days,"Smyckegatan 41, 426 50 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff32e0b80ff1d:0x22391c23405f57ef!8m2!3d57.6525456!4d11.9008622!16s%2Fg%2F11qgl52szv!19sChIJHf-ACy7zT0YR71dfQCMcOSI?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJ5wuqfr3zT0YRnnooiUsNtE0,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WWs81drXpFH5vSpuNyEMsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=145.50458&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Turkosgatan 7, 421 52 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff3bd7eaa0be7:0x4db40d4b89287a9e!8m2!3d57.6492769!4d11.8991084!16s%2Fg%2F11rx4hg47z!19sChIJ5wuqfr3zT0YRnnooiUsNtE0?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJ_dhFtXTzT0YRaLameoNA6Ow,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=80L6vTHqXNhH7QS1EE4RgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=162.0126&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Grevegardsvagen 108, 421 61 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff374b545d8fd:0xece840837aa6b668!8m2!3d57.6439893!4d11.895999!16s%2Fg%2F11qg34jxzj!19sChIJ_dhFtXTzT0YRaLameoNA6Ow?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJOa0xpU7zT0YRt3ZI7n4kjIM,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gsuCR8OsygMa_k2-MFNcHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=219.15646&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Turkosgatan 39, 421 52 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff34ea531ad39:0x838c247eee4876b7!8m2!3d57.6480121!4d11.8966383!16s%2Fg%2F11p0hdx7j0!19sChIJOa0xpU7zT0YRt3ZI7n4kjIM?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJeWeRNBXzT0YRojV4wuMkXxk,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GF6YCyIMMIPsLavi6qvriw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.93091&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Topasgatan 57, 421 48 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff31534916779:0x195f24e3c27835a2!8m2!3d57.6488268!4d11.9102684!16s%2Fg%2F11qg96flch!19sChIJeWeRNBXzT0YRojV4wuMkXxk?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
