place_id,name,description,reviews,rating,website,phone,owner_name,featured_image,main_category,,address,state,
ChIJ5zcqIEwXf0YR2y7hlIEc_-A,Lekpark furuberg,,0,0,,,Lekpark furuberg (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xRJCHDUYv6hH9vJwiLcAyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.34042&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",941 39 Pitea,Pitea,
ChIJq_RX1049f0YRBX4uVm4LyBg,Lekpark Kvistgrand,,2,4,,,Lekpark Kvistgrand (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q93VAMqqcqEqp7Qc7j4LHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.00427&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Kvistgrand 16,Pitea,
ChIJj1kB-bM7WUYRkrFJ8baa6-Y,Lekpark Lindohamn,,23,4.6,,,Lekpark Lindohamn (agare),https://lh3.ggpht.com/p/AC9h4nq23aknMhAvo5eeqZeXfQ3riW5mc-QU0nqDkdHnovL_nB_mgIoDvKnNq89wjyYkHsScwxzgN2PsVv_6VURwcl7Ot2K6sLZW3OA39uKwr8nrH3JreHGLhhB-W9LIrbbyRCwcakCK=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Lindovagen 101,Norrkoping,
ChIJObN0eDSZX0YR2j1hONdc_fQ,Lekpark Malungsvagen,,9,4.3,,,Lekpark Malungsvagen (agare),https://lh3.ggpht.com/p/AC9h4nqtYkR_aYVYvnSRwCtTkG0Hj65UgvqAN8duz1VTBKx7KOjCNI_-c09RB8yXIQJWuzx7pb-EjcHI0CbrUN8m5e75f3Yq0piyXi4GrEZsNPURj9x_nCh_pPydjdnaiLHJhr3qdyvaaw=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Malungsvagen,Sollentuna,
ChIJoU0kXgo7WUYRv6-T3GNGQzk,LekPark Soderporten,,1,5,,,LekPark Soderporten (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xhRC8AGbHiiatN4CIfeykw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=63.632393&pitch=0&thumbfov=100,Lekplats,Open All Days,603 48 Norrkoping,Norrkoping,
ChIJFx0Ljae7X0YRVuo_LCJH8DE,Lekpark Stenladan,,3,4.7,,,Lekpark Stenladan (agare),https://lh3.ggpht.com/p/AC9h4nouyN6ZEwfj6b14Un_RUQ_F6uSuzKBVu4w7dBxPtXlXvBE-2ieLZZ75_BN-I_triIj-kxJ4Y5jc0yGoNOb3TRg8dJTrSUhmYRRPcYsdf3NM5oIuHieXS4g0SxZafQQ6DfsMu4wo=s1024,Lekplats,Open All Days,Steninge Slottsvag 141,Marsta,
ChIJazAgCkc9f0YRk42PAPnQzPs,Lekpark Storfors,,12,4.3,,,Lekpark Storfors (agare),https://lh3.ggpht.com/p/AC9h4npMZMiwDOuWWpR9Umvps3_54SXJUUS4YXAYpQoYBcKi0kXsXrsba0bJHFGIk3YQVra3QKLdRGo8dYIsXwECiX4bRJFXqKBVbaMiM3KfERJXUTNVYehA_fJILhnhsM1YEkqq1-7o=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",944 72 Pitea,Pitea,
ChIJU5WxSBY9f0YRx4O0zSWer_4,Lekpark Svetsargatan,,0,0,,,Lekpark Svetsargatan (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bxvQfRc6_6zXufhY2Hjz1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.55862&pitch=0&thumbfov=100,Lekplats,Open All Days,941 48 Pitea,Pitea,
ChIJZUDoIiFvZ0YR5rNwGu5YbqE,Lekpark Torsvagen,,9,4,,,Lekpark Torsvagen (agare),https://lh3.ggpht.com/p/AC9h4npchAydmK52wIM3qaWgzeLXjIe8EHm71W6s6fkED7JxH7LAxmilXoGGDx232VB28MhhNTrUctMGqfm8kY1ptdddliR6KhLsluDrSM3UFyRxd7bgstiejUqXPIpedLedfySO63AD=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",791 43 Falun,Falun,
ChIJg-t2d9c9f0YRBKnHmwpJ6zc,Lekpark Trekantsgatan,,14,4.1,,,Lekpark Trekantsgatan (agare),https://lh3.ggpht.com/p/AC9h4noX4-teAVU24gci2e3BexwP-XdbLlA2JW42RDYTsGQ-zmBHfsBBypjybr_tGkZxWEnwtznNrZgl-MbBZkLuZ_nY9l_xs5I5MPQOEj8JzVjWjsW9bnTxuN08acdXwgIggtqJKm6pmg=s1024,Lekplats,Open All Days,943 35 Ojebyn,Ojebyn,
